Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"	"TAU score - Tissue"	"TAU score - Blood"	"TAU score - Brain"	"TAU score - Single Cell Type"	"TAU score - Single nuclei brain"	"Tissue RNA - endometrium 1 [nTPM]"
ARL6	"BBS3, RP55"	ENSG00000113966	"ADP ribosylation factor like GTPase 6"	Q9H0F7	3	97764521-97801229	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cilium biogenesis/degradation, Protein transport, Sensory transduction, Transport, Vision"		"Bardet-Biedl syndrome, Ciliopathy, Disease variant, Intellectual disability, Obesity, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.04e-2)"	0.58	0.58	0.12	0.59	0.21	4.3
ARL6IP1	"AIP1, ARL6IP, ARMER, KIAA0069, SPG61"	ENSG00000170540	"ADP ribosylation factor like GTPase 6 interacting protein 1"	Q15041	16	18791669-18801572	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	Apoptosis		"Disease variant, Hereditary spastic paraplegia, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.56e-1)"	0.22	0.11	0.05	0.19	0.33	68.7
ARL6IP4	"SFRS20, SR-25, SRp25, SRrp37"	ENSG00000182196	"ADP ribosylation factor like GTPase 6 interacting protein 4"	Q66PJ3	12	122980060-122982913	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.68e-2)"	0.19	0.09	0.06	0.28	0.16	113.0
ARL6IP5	"DERP11, GTRAP3-18, HSPC127, JWA, PRAF3, Yip6b"	ENSG00000144746	"ADP ribosylation factor like GTPase 6 interacting protein 5"	O75915	3	69084937-69106092	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.45e-2)"	0.16	0.14	0.08	0.25	0.13	70.6
ARL6IP6	MGC33864	ENSG00000177917	"ADP ribosylation factor like GTPase 6 interacting protein 6"	Q8N6S5	2	152717647-152762396	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.72e-1)"	0.41	0.44	0.08	0.37	0.15	11.4
ARL8A	"ARL10B, FLJ45195, Gie2"	ENSG00000143862	"ADP ribosylation factor like GTPase 8A"	Q96BM9	1	202133404-202144743	"Predicted intracellular proteins"	"Cell cycle, Cell division, Chromosome partition, Mitosis, Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.39e-1)"	0.31	0.54	0.08	0.33	0.28	33.8
ARL8B	"ARL10C, FLJ10702, Gie1"	ENSG00000134108	"ADP ribosylation factor like GTPase 8B"	Q9NVJ2	3	5122249-5180911	"Enzymes, Predicted intracellular proteins"	"Cell cycle, Cell division, Protein transport, Transport"	Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.08e-1)"	0.17	0.17	0.05	0.34	0.09	43.8
ARL9		ENSG00000196503	"ADP ribosylation factor like GTPase 9"	Q6T311	4	56505209-56524959	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (6.78e-2)"	0.76	"Not detected"	0.40	0.88	0.49	1.4
ARMC1	"Arcp, FLJ10511"	ENSG00000104442	"Armadillo repeat containing 1"	Q9NVT9	8	65602458-65634217	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.22e-1)"	0.13	0.40	0.07	0.34	0.14	18.0
ARMC10	"MGC3195, SVH"	ENSG00000170632	"Armadillo repeat containing 10"	Q8N2F6	7	103074881-103099759	"Predicted intracellular proteins, Predicted membrane proteins"	"Growth regulation"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.90e-1)"	0.15	0.31	0.08	0.29	0.19	17.3
ARMC12	"C6orf81, FLJ25390"	ENSG00000157343	"Armadillo repeat containing 12"	Q5T9G4	6	35737032-35749079	"Predicted intracellular proteins"	"Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.76	"Not detected"	0.22	0.94	0.77	1.6
ARMC2	"bA787I22.1, DKFZp434P0714"	ENSG00000118690	"Armadillo repeat containing 2"	Q8NEN0	6	108848416-108974476	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Differentiation, Spermatogenesis"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.87e-3)"	0.47	0.43	0.18	0.73	0.29	7.2
ARMC3	"CT81, FLJ32827"	ENSG00000165309	"Armadillo repeat containing 3"	Q5W041	10	22928024-23038523	"Predicted intracellular proteins"	"Autophagy, Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (6.35e-2)"	0.89	"Not detected"	0.45	0.91	0.71	1.4
ARMC5	FLJ13063	ENSG00000140691	"Armadillo repeat containing 5"	Q96C12	16	31458080-31467166	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Cushing syndrome, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.55e-1)"	0.41	0.42	0.10	0.42	0.22	6.6
ARMC6	MGC19595	ENSG00000105676	"Armadillo repeat containing 6"	Q6NXE6	19	19033575-19060311	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.60e-2)"	0.44	0.19	0.05	0.39	0.21	14.2
ARMC7	FLJ22160	ENSG00000125449	"Armadillo repeat containing 7"	Q9H6L4	17	75109952-75130272	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.27e-1)"	0.42	0.23	0.22	0.49	0.38	6.8
ARMC8	"DKFZP434A043, GID5, HSPC056, VID28"	ENSG00000114098	"Armadillo repeat containing 8"	Q8IUR7	3	138187248-138298384	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.09e-2)"	0.28	0.15	0.16	0.32	0.16	17.1
ARMC9	"ARM, FLJ12584, KIAA1868, KU-MEL-1"	ENSG00000135931	"Armadillo repeat containing 9"	Q7Z3E5	2	231198546-231376848	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cilium biogenesis/degradation"		"Ciliopathy, Joubert syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.15e-1)"	0.53	0.76	0.21	0.62	0.23	18.5
ARMCX1	"ALEX1, GASP7"	ENSG00000126947	"Armadillo repeat containing X-linked 1"	Q9P291	X	101550547-101554700	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.26e-2)"	0.25	0.70	0.07	0.47	0.21	29.5
ARMCX2	"ALEX2, GASP9, KIAA0512"	ENSG00000184867	"Armadillo repeat containing X-linked 2"	Q7L311	X	101655281-101659850	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (1.30e-1)"	0.39	0.60	0.09	0.49	0.11	29.6
ARMCX3	"ALEX3, GASP6"	ENSG00000102401	"Armadillo repeat containing X-linked 3"	Q9UH62	X	101622797-101627843	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.28e-1)"	0.24	0.29	0.04	0.26	0.12	39.7
ARMCX4	"CXorf35, GASP4, MGC40053"	ENSG00000196440	"Armadillo repeat containing X-linked 4"	Q5H9R4	X	101418287-101533459	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"		0.42	"Not detected"	0.18	0.58	0.12	3.5
ARMCX5	"FLJ12969, GASP5"	ENSG00000125962	"Armadillo repeat containing X-linked 5"	Q6P1M9	X	102599168-102604159	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.57e-1)"	0.19	0.29	0.10	0.42	"Not detected"	8.5
ARMCX6	"FLJ20811, GASP10"	ENSG00000198960	"Armadillo repeat containing X-linked 6"	Q7L4S7	X	101615118-101618001	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (7.75e-2)"	0.22	0.26	0.11	0.68	0.64	15.4
ARMH1	"C1orf228, MGC33556, NCRNA00082, p40"	ENSG00000198520	"Armadillo like helical domain containing 1"	Q6PIY5	1	44674692-44725591	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (2.62e-2)"	0.70	0.68	0.20	0.72	0.42	1.6
ARMH3	"C10orf76, FLJ13114"	ENSG00000120029	"Armadillo like helical domain containing 3"	Q5T2E6	10	101845599-102056193	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.00e-2)"	0.20	0.36	0.06	0.45	0.15	10.2
ARMH4	"C14orf37, UT2"	ENSG00000139971	"Armadillo like helical domain containing 4"	Q86TY3	14	57999735-58298139	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.03e-1)"	0.59	"Not detected"	0.21	0.64	0.15	2.9
ARMT1	"C6orf211, FLJ12910"	ENSG00000146476	"Acidic residue methyltransferase 1"	Q9H993	6	151452258-151470101	"Predicted intracellular proteins"	"DNA damage"	"Hydrolase, Methyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.68e-1)"	0.28	0.24	0.07	0.37	0.16	15.5
ARNT	"bHLHe2, HIF-1beta"	ENSG00000143437	"Aryl hydrocarbon receptor nuclear translocator"	P27540	1	150809713-150876708	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.12e-1)"	0.17	0.32	0.11	0.30	0.12	26.6
ARNT2	"bHLHe1, KIAA0307"	ENSG00000172379	"Aryl hydrocarbon receptor nuclear translocator 2"	Q9HBZ2	15	80404350-80597933	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.05e-1)"	0.64	"Not detected"	0.12	0.76	0.27	5.8
ARPC1A	"Arc40, SOP2Hs, SOP2L"	ENSG00000241685	"Actin related protein 2/3 complex subunit 1A"	Q92747	7	99325898-99366262	"Plasma proteins, Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.48e-1)"	0.13	0.23	0.06	0.29	0.26	58.1
ARPC1B	"ARC41, p40-ARC, p41-ARC"	ENSG00000130429	"Actin related protein 2/3 complex subunit 1B"	O15143	7	99374249-99394816	"Disease related genes, Plasma proteins, Predicted intracellular proteins"		Actin-binding	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.75e-2)"	0.32	0.16	0.17	0.40	0.57	68.6
ARPC2	"ARC34, p34-Arc"	ENSG00000163466	"Actin related protein 2/3 complex subunit 2"	O15144	2	218217141-218254356	"Plasma proteins, Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.48e-1)"	0.19	0.11	0.07	0.24	0.25	148.1
ARPC3	"ARC21, p21-Arc"	ENSG00000111229	"Actin related protein 2/3 complex subunit 3"	O15145	12	110434823-110450422	"Plasma proteins, Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.34e-1)"	0.21	0.12	0.06	0.26	0.29	147.0
ARPC4	"ARC20, p20-Arc"	ENSG00000241553	"Actin related protein 2/3 complex subunit 4"	P59998	3	9792495-9807101	"Plasma proteins, Predicted intracellular proteins"		Actin-binding	"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.24e-2)"	0.17	0.12	0.06	0.36	0.29	90.1
ARPC4-TTLL3		ENSG00000250151	"ARPC4-TTLL3 readthrough"		3	9793082-9835401	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"unprognostic (2.83e-1)"	0.56	0.30	0.29	0.90	"Not available"	1.2
ARPC5	"ARC16, dJ127C7.3, p16-Arc"	ENSG00000162704	"Actin related protein 2/3 complex subunit 5"	O15511	1	183620846-183635783	"Plasma proteins, Predicted intracellular proteins"		Actin-binding	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.39e-1)"	0.24	0.15	0.11	0.28	0.24	67.2
ARPC5L	"ARC16-2, MGC3038"	ENSG00000136950	"Actin related protein 2/3 complex subunit 5 like"	Q9BPX5	9	124862130-124877733	"Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.97e-2)"	0.20	0.21	0.11	0.40	0.23	23.0
ARPIN	"C15orf38, MGC61550"	ENSG00000242498	"Actin related protein 2/3 complex inhibitor"	Q7Z6K5	15	89895006-89912952	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.84e-1)"	0.39	0.79	0.04	0.50	0.37	11.5
ARPIN-AP3S2	C15orf38-AP3S2	ENSG00000250021	"ARPIN-AP3S2 readthrough"		15	89834308-89912882	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"unprognostic (8.69e-2)"	0.21	0.26	0.04	"Not detected"	"Not available"	8.8
ARPP19	"ARPP-16, ARPP-19, ARPP16, ENSAL"	ENSG00000128989	"CAMP regulated phosphoprotein 19"	P56211	15	52547045-52569883	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	"Protein phosphatase inhibitor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.75e-2)"	0.36	0.12	0.17	0.47	0.28	46.4
ARRB1	ARR1	ENSG00000137486	"Arrestin beta 1"	P49407	11	75260122-75351705	"Predicted intracellular proteins, Transporters"	"Protein transport, Transcription, Transcription regulation, Transport"	"Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.25e-1)"	0.33	0.49	0.08	0.47	0.28	9.9
ARRB2	"ARR2, BARR2, DKFZp686L0365"	ENSG00000141480	"Arrestin beta 2"	P32121	17	4710596-4721499	"Predicted intracellular proteins, Transporters"	"Protein transport, Transport"	"Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.19e-2)"	0.41	0.29	0.06	0.55	0.44	16.9
ARRDC1	MGC40555	ENSG00000197070	"Arrestin domain containing 1"	Q8N5I2	9	137605685-137615360	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.00e-1)"	0.27	0.26	0.15	0.34	0.41	12.6
ARRDC2	"CLONE24945, PP2703"	ENSG00000105643	"Arrestin domain containing 2"	Q8TBH0	19	18001132-18014102	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.08e-1)"	0.38	0.37	0.16	0.55	0.60	22.1
ARRDC3	"KIAA1376, TLIMP"	ENSG00000113369	"Arrestin domain containing 3"	Q96B67	5	91368631-91383317	"Predicted intracellular proteins, Transporters"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.02e-1)"	0.28	0.39	0.17	0.37	0.25	39.3
ARRDC4	FLJ36045	ENSG00000140450	"Arrestin domain containing 4"	Q8NCT1	15	97960703-97973833	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.53e-2)"	0.37	0.74	0.24	0.48	0.38	14.2
ARSA	ASA	ENSG00000100299	"Arylsulfatase A"	P15289	22	50622754-50628173	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Lipid metabolism"	Hydrolase	"Disease variant, Ichthyosis, Leukodystrophy, Metachromatic leukodystrophy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.41e-3)"	0.22	0.30	0.14	0.41	0.19	21.7
ARSB	ASB	ENSG00000113273	"Arylsulfatase B"	P15848	5	78777209-78986087	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		Hydrolase	"Disease variant, Ichthyosis, Leukodystrophy, Metachromatic leukodystrophy, Mucopolysaccharidosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.22e-2)"	0.41	0.63	0.04	0.61	0.23	6.2
ARSD	ASD	ENSG00000006756	"Arylsulfatase D"	P51689	X	2903972-2929349	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.49e-2)"	0.34	0.50	0.29	0.43	0.38	10.8
ARSG	KIAA1001	ENSG00000141337	"Arylsulfatase G"	Q96EG1	17	68259182-68422731	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		Hydrolase	"Deafness, Disease variant, Retinitis pigmentosa, Usher syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.98e-2)"	0.56	0.32	0.24	0.51	0.37	3.7
